"","Nuccore_ID","target name","taccession","query name","qaccession","E-value","score","bias","dom E-value","dom score","dom bias","exp","reg","clu","ov","env","dom","rep","inc","Definition","Source","WW_IDs","Spore.Forming.(Weller.and.Wu)","Spore.Genes.(Weller.and.Wu)","Genus","Species","Assembly","Phylum","Class","Order","Family"
"1754","NC_016023.1","lcl|NC_016023.1_prot_WP_013858086.1_1174","-","TIGR01164","TIGR01164",1.1e-64,213.7,1.6,1.3e-64,213.6,1.6,1,1,0,0,1,1,1,1,"Bacillus coagulans 36D1, complete genome","Bacillus coagulans 36D1","Bacillus coagulans ","Y","98","Bacillus","coagulans","GCF_000169195.2","Firmicutes","Bacilli","Bacillales","Bacillaceae"
"1769","NC_016048.1","lcl|NC_016048.1_prot_WP_014116864.1_896","-","TIGR01164","TIGR01164",1.2e-62,207.6,0.5,1.4e-62,207.4,0.5,1,1,0,0,1,1,1,1,"Oscillibacter valericigenes Sjm18-20 DNA, complete genome","Oscillibacter valericigenes Sjm18-20","Oscillibacter valericigenes ","Y","49","Oscillibacter","valericigenes","GCF_000283575.1","Firmicutes","Clostridia","Clostridiales","Oscillospiraceae"
"1797","NC_016077.1","lcl|NC_016077.1_prot_WP_009015382.1_2220","-","TIGR01164","TIGR01164",7e-61,201,2,8.3e-61,200.7,2,1.1,1,0,0,1,1,1,1,"Acidaminococcus intestini RyC-MR95, complete genome","Acidaminococcus intestini RyC-MR95","Acidaminococcus intestini ","N","17","Acidaminococcus","intestini","GCF_000230275.1","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae"
"1811","NC_016584.1","lcl|NC_016584.1_prot_WP_014182799.1_209","-","TIGR01164","TIGR01164",3.7e-62,206.3,1.3,4.3e-62,206.1,1.3,1,1,0,0,1,1,1,1,"Desulfosporosinus orientis DSM 765, complete genome","Desulfosporosinus orientis DSM 765","Desulfosporosinus orientis ","Y","76","Desulfosporosinus","orientis","GCF_000235605.1","Firmicutes","Clostridia","Clostridiales","Peptococcaceae"
"1825","NC_016605.1","lcl|NC_016605.1_prot_WP_014215726.1_1192","-","TIGR01164","TIGR01164",1.4e-56,186.8,3.7,1.6e-56,186.6,3.7,1,1,0,0,1,1,1,1,"Pediococcus claussenii ATCC BAA-344, complete genome","Pediococcus claussenii ATCC BAA-344","Pediococcus claussenii ","N","11","Pediococcus","claussenii","GCF_000237995.1","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae"
"1839","NC_016627.1","lcl|NC_016627.1_prot_WP_014256837.1_3762","-","TIGR01164","TIGR01164",2e-62,206.7,1.7,2.3e-62,206.6,1.7,1,1,0,0,1,1,1,1,"Hungateiclostridium clariflavum DSM 19732, complete genome","Hungateiclostridium clariflavum DSM 19732","Clostridium clariflavum ","Y","68","Hungateiclostridium","clariflavum","GCF_000237085.1","Firmicutes","Clostridia","Clostridiales","Hungateiclostridiaceae"
"1852","NC_016630.1","lcl|NC_016630.1_prot_WP_014262833.1_1252","-","TIGR01164","TIGR01164",3.1e-59,195.2,1.9,3.6e-59,195,1.9,1.1,1,0,0,1,1,1,1,"Filifactor alocis ATCC 35896, complete genome","Filifactor alocis ATCC 35896","Filifactor alocis ","N","12","Filifactor","alocis","GCF_000163895.2","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae"
"1867","NC_016749.1","lcl|NC_016749.1_prot_WP_003062852.1_54","-","TIGR01164","TIGR01164",1e-57,190.6,3.8,1.1e-57,190.4,3.8,1,1,0,0,1,1,1,1,"Streptococcus macedonicus ACA-DC 198 main chromosome complete genome","Streptococcus macedonicus ACA-DC 198","Streptococcus macedonicus ","N","14","Streptococcus","macedonicus","GCF_000283635.1","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae"
"1881","NC_016805.3","lcl|NC_016805.3_prot_WP_002816029.1_154","-","TIGR01164","TIGR01164",5.9e-57,188,2.7,6.7e-57,187.8,2.7,1,1,0,0,1,1,1,1,"Leuconostoc mesenteroides subsp. mesenteroides J18, complete genome","Leuconostoc mesenteroides subsp. mesenteroides J18","Leuconostoc mesenteroides ","N","14","Leuconostoc","mesenteroides","GCF_000234825.3","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae"
"1895","NC_016894.1","lcl|NC_016894.1_prot_WP_041669083.1_2889","-","TIGR01164","TIGR01164",2.1e-63,209.8,2.4,2.5e-63,209.5,2.4,1.1,1,0,0,1,1,1,1,"Acetobacterium woodii DSM 1030, complete genome","Acetobacterium woodii DSM 1030","Acetobacterium woodii","N","21","Acetobacterium","woodii","GCF_000247605.1","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae"
"1909","NC_017061.1","lcl|NC_017061.1_prot_WP_003156478.1_124","-","TIGR01164","TIGR01164",4.6e-64,212.1,1.3,5.4e-64,211.8,1.3,1,1,0,0,1,1,1,1,"Bacillus amyloliquefaciens subsp. plantarum YAU B9601-Y2 complete genome","Bacillus amyloliquefaciens subsp. plantarum YAU B9601-Y2","Bacillus amyloliquefaciens ","Y","149","Bacillus","amyloliquefaciens","GCF_000284395.1","Firmicutes","Bacilli","Bacillales","Bacillaceae"
"1923","NC_017068.1","lcl|NC_017068.1_prot_WP_014423842.1_685","-","TIGR01164","TIGR01164",2.5e-64,212.7,1,2.9e-64,212.4,1,1,1,0,0,1,1,1,1,"Selenomonas ruminantium subsp. lactilytica TAM6421 DNA, complete genome","Selenomonas ruminantium subsp. lactilytica TAM6421","Selenomonas ruminantium ","N","24","Selenomonas","ruminantium","GCF_000284095.1","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae"
"1937","NC_017167.1","lcl|NC_017167.1_prot_WP_008339779.1_2776","-","TIGR01164","TIGR01164",2.4e-64,212.5,2.3,2.8e-64,212.3,2.3,1,1,0,0,1,1,1,1,"Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1, complete genome","Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1","Alicyclobacillus acidocaldarius ","Y","66","Alicyclobacillus","acidocaldarius","GCF_000219875.1","Firmicutes","Bacilli","Bacillales","Alicyclobacillaceae"
"1951","NC_017294.1","NC_017294.1_cds_WP_005805148.1_1353_1","-","TIGR01164","TIGR01164",3.5e-57,188.4,1.1,4e-57,188.2,1.1,1,1,0,0,1,1,1,1,"Candidatus Arthromitus sp. SFB-mouse-Yit DNA, complete genome","Candidatus Arthromitus sp. SFB-mouse-Yit","Candidatus Arthromitus sp. SFB-mouse","Y","47","Arthromitus","sp. SFB-mouse-Yit","GCF_000284435.1","Firmicutes","Clostridia","Clostridiales","Clostridiaceae"
"1965","NC_017295.1","lcl|NC_017295.1_prot_WP_010966405.1_3123","-","TIGR01164","TIGR01164",2.5e-62,206.4,0.9,3e-62,206.1,0.9,1.1,1,0,0,1,1,1,1,"Clostridium acetobutylicum EA 2018, complete genome","Clostridium acetobutylicum EA 2018","Clostridium acetobutylicum ","Y","69","Clostridium","acetobutylicum","GCF_000191905.1","Firmicutes","Clostridia","Clostridiales","Clostridiaceae"
"1981","NC_017304.1","lcl|NC_017304.1_prot_WP_003514637.1_447","-","TIGR01164","TIGR01164",6.3e-63,208,1.7,7.2e-63,207.8,1.7,1,1,0,0,1,1,1,1,"Hungateiclostridium thermocellum DSM 1313, complete genome","Hungateiclostridium thermocellum DSM 1313","Ruminiclostridium thermocellum ","Y","70","Hungateiclostridium","thermocellum","GCF_000184925.1","Firmicutes","Clostridia","Clostridiales","Hungateiclostridiaceae"
"1996","NC_017353.1","lcl|NC_017353.1_prot_WP_002460063.1_768","-","TIGR01164","TIGR01164",2.5e-61,202.5,1,2.9e-61,202.3,1,1,1,0,0,1,1,1,1,"Staphylococcus lugdunensis N920143 complete genome","Staphylococcus lugdunensis N92014","Staphylococcus lugdunensis ","N","18","Staphylococcus","lugdunensis","GCF_000270465.1","Firmicutes","Bacilli","Bacillales","Staphylococcaceae"
"2009","NC_017455.1","lcl|NC_017455.1_prot_WP_005487011.1_1663","-","TIGR01164","TIGR01164",4.2e-65,214.5,2.6,4.9e-65,214.3,2.6,1,1,0,0,1,1,1,1,"Halanaerobium praevalens DSM 2228, complete genome","Halanaerobium praevalens DSM 2228","Halanaerobium praevalens ","N","22","Halanaerobium","praevalens","GCF_000165465.1","Firmicutes","Clostridia","Halanaerobiales","Halanaerobiaceae"
"2023","NC_017465.1","lcl|NC_017465.1_prot_WP_003681584.1_1679","-","TIGR01164","TIGR01164",2.5e-56,186.1,2.8,2.9e-56,185.9,2.8,1,1,0,0,1,1,1,1,"Lactobacillus fermentum CECT 5716, complete genome","Lactobacillus fermentum CECT 5716","Lactobacillus fermentum ","N","11","Lactobacillus","fermentum","GCF_000210515.1","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae"
"2038","NC_017490.1","lcl|NC_017490.1_prot_WP_003133745.1_157","-","TIGR01164","TIGR01164",1.1e-56,187.1,3.1,1.3e-56,187,3.1,1,1,0,0,1,1,1,1,"Lactococcus garvieae Lg2 DNA, complete genome","Lactococcus garvieae Lg2","Lactococcus garvieae ","N","13","Lactococcus","garvieae","GCF_000269945.1","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae"
"2051","NC_017568.1","lcl|NC_017568.1_prot_WP_014613219.1_557","-","TIGR01164","TIGR01164",1.2e-60,200.2,0.7,1.4e-60,200,0.7,1,1,0,0,1,1,1,1,"Staphylococcus pseudintermedius ED99, complete genome","Staphylococcus pseudintermedius ED99","Staphylococcus pseudintermedius ","N","17","Staphylococcus","pseudintermedius","GCF_000189495.1","Firmicutes","Bacilli","Bacillales","Staphylococcaceae"
"2066","NC_017581.1","lcl|NC_017581.1_prot_WP_002952157.1_1851","-","TIGR01164","TIGR01164",8.8e-58,190.7,3.5,1e-57,190.5,3.5,1,1,0,0,1,1,1,1,"Streptococcus thermophilus JIM 8232 complete genome","Streptococcus thermophilus JIM 823","Streptococcus thermophilus ","N","15","Streptococcus","thermophilus","GCF_000253395.1","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae"
"2080","NC_017582.1","lcl|NC_017582.1_prot_WP_012514738.1_54","-","TIGR01164","TIGR01164",1.5e-57,190,3.5,1.7e-57,189.8,3.5,1,1,0,0,1,1,1,1,"Streptococcus equi subsp. zooepidemicus ATCC 35246, complete genome","Streptococcus equi subsp. zooepidemicus ATCC 35246","Streptococcus equi ","N","13","Streptococcus","equi","GCF_000219765.1","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae"
"2098","NC_017591.1","lcl|NC_017591.1_prot_WP_000960946.1_222","-","TIGR01164","TIGR01164",1.6e-57,190.1,3.7,1.8e-57,189.9,3.7,1,1,0,0,1,1,1,1,"Streptococcus pneumoniae INV104 genome","Streptococcus pneumoniae INV104","Streptococcus pneumoniae ","N","13","Streptococcus","pneumoniae","GCF_000210975.1","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae"
"2109","NC_017668.1","lcl|NC_017668.1_prot_WP_014641428.1_133","-","TIGR01164","TIGR01164",2.3e-63,209.8,0.8,2.7e-63,209.6,0.8,1,1,0,0,1,1,1,1,"Halobacillus halophilus DSM 2266 complete genome","Halobacillus halophilus DSM 226","Halobacillus halophilus ","Y","96","Halobacillus","halophilus","GCF_000284515.1","Firmicutes","Bacilli","Bacillales","Bacillaceae"
"2137","NC_018065.1","lcl|NC_018065.1_prot_WP_008406960.1_233","-","TIGR01164","TIGR01164",5.2e-63,208.6,1.6,6.1e-63,208.3,1.6,1,1,0,0,1,1,1,1,"Solibacillus silvestris StLB046 DNA, complete genome","Solibacillus silvestris StLB046","Solibacillus silvestris ","Y","63","Solibacillus","silvestris","GCF_000271325.1","Firmicutes","Bacilli","Bacillales","Planococcaceae"
"2151","NC_018068.1","lcl|NC_018068.1_prot_WP_014825576.1_444","-","TIGR01164","TIGR01164",1.3e-62,207.5,0.7,1.5e-62,207.3,0.7,1,1,0,0,1,1,1,1,"Desulfosporosinus acidiphilus SJ4, complete genome","Desulfosporosinus acidiphilus SJ4","Desulfosporosinus acidiphilus ","Y","69","Desulfosporosinus","acidiphilus","GCF_000255115.2","Firmicutes","Clostridia","Clostridiales","Peptococcaceae"
"2165","NC_018081.1","lcl|NC_018081.1_prot_WP_010720445.1_839","-","TIGR01164","TIGR01164",6.5e-58,191.6,3.5,7.7e-58,191.3,3.5,1.1,1,0,0,1,1,1,1,"Enterococcus hirae ATCC 9790, complete genome","Enterococcus hirae ATCC 9790","Enterococcus hirae ","N","15","Enterococcus","hirae","GCF_000271405.2","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae"
"2179","NC_018089.1","lcl|NC_018089.1_prot_WP_002262333.1_1807","-","TIGR01164","TIGR01164",2.6e-57,189.2,3,2.9e-57,189,3,1,1,0,0,1,1,1,1,"Streptococcus mutans GS-5, complete genome","Streptococcus mutans GS-5","Streptococcus mutans ","N","12","Streptococcus","mutans","GCF_000271865.1","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae"
"2193","NC_018515.1","lcl|NC_018515.1_prot_WP_014901241.1_205","-","TIGR01164","TIGR01164",1.5e-62,207.3,1.6,1.7e-62,207.1,1.6,1,1,0,0,1,1,1,1,"Desulfosporosinus meridiei DSM 13257, complete genome","Desulfosporosinus meridiei DSM 13257","Desulfosporosinus meridiei ","Y","70","Desulfosporosinus","meridiei","GCF_000231385.2","Firmicutes","Clostridia","Clostridiales","Peptococcaceae"
"2207","NC_018664.1","lcl|NC_018664.1_prot_WP_014968395.1_2226","-","TIGR01164","TIGR01164",1.7e-63,209.7,2.2,2e-63,209.5,2.2,1,1,0,0,1,1,1,1,"Gottschalkia acidurici 9a, complete genome","Gottschalkia acidurici 9a","Clostridium acidurici ","Y","55","Gottschalkia","acidurici","GCF_000299355.1","Firmicutes","Tissierellia","Tissierellales","Gottschalkiaceae"
"2221","NC_018665.1","lcl|NC_018665.1_prot_WP_012369016.1_103","-","TIGR01164","TIGR01164",9.8e-64,210.5,2.4,1.1e-63,210.3,2.4,1,1,0,0,1,1,1,1,"Exiguobacterium antarcticum B7, complete genome","Exiguobacterium antarcticum B7","Exiguobacterium antarcticum ","N","24","Exiguobacterium","antarcticum","GCF_000299435.1","Firmicutes","Bacilli","Bacillales","Bacillales Family XII. Incertae Sedis"
"2235","NC_018673.1","lcl|NC_018673.1_prot_WP_014973695.1_160","-","TIGR01164","TIGR01164",2.4e-57,189.1,3,2.7e-57,188.9,3,1,1,0,0,1,1,1,1,"Leuconostoc carnosum JB16, complete genome","Leuconostoc carnosum JB16","Leuconostoc carnosum ","N","10","Leuconostoc","carnosum","GCF_000300135.1","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae"
"2249","NC_018704.1","lcl|NC_018704.1_prot_WP_015008869.1_131","-","TIGR01164","TIGR01164",2e-63,209.2,1.4,2.4e-63,209,1.4,1,1,0,0,1,1,1,1,"Amphibacillus xylanus NBRC 15112 DNA, complete genome","Amphibacillus xylanus NBRC 15112","Amphibacillus xylanus ","Y","71","Amphibacillus","xylanus","GCF_000307165.1","Firmicutes","Bacilli","Bacillales","Bacillaceae"
"2263","NC_018866.1","lcl|NC_018866.1_prot_WP_019225212.1_1835","-","TIGR01164","TIGR01164",7e-59,194.8,0.7,8.4e-59,194.6,0.7,1.1,1,0,0,1,1,1,1,"Dehalobacter sp. DCA, complete genome","Dehalobacter sp. DCA","Dehalobacter sp. DCA","Y","61","Dehalobacter","sp. DCA","GCF_000305775.1","Firmicutes","Clostridia","Clostridiales","Peptococcaceae"
"2277","NC_018870.1","lcl|NC_018870.1_prot_WP_015051613.1_2536","-","TIGR01164","TIGR01164",2.8e-61,202.6,0.5,3.3e-61,202.3,0.5,1,1,0,0,1,1,1,1,"Thermacetogenium phaeum DSM 12270, complete genome","Thermacetogenium phaeum DSM 12270","Thermacetogenium phaeum ","Y","56","Thermacetogenium","phaeum","GCF_000305935.1","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae"
"2291","NC_019425.2","lcl|NC_019425.2_prot_WP_010052060.1_3193","-","TIGR01164","TIGR01164",3.6e-58,192.8,3.6,4.2e-58,192.5,3.6,1,1,0,0,1,1,1,1,"Carnobacterium maltaromaticum LMA28 complete genome","Carnobacterium maltaromaticum LMA28","Carnobacterium maltaromaticum ","N","22","Carnobacterium","maltaromaticum","GCF_000317975.2","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae"
"2305","NC_019897.1","lcl|NC_019897.1_prot_WP_015253295.1_283","-","TIGR01164","TIGR01164",3.2e-63,209.3,3.7,3.8e-63,209.1,3.7,1,1,0,0,1,1,1,1,"Thermobacillus composti KWC4, complete genome","Thermobacillus composti KWC4","Thermobacillus composti ","Y","89","Thermobacillus","composti","GCF_000227705.2","Firmicutes","Bacilli","Bacillales","Paenibacillaceae"
"2319","NC_019903.1","NC_019903.1_cds_WP_015260992.1_408_1","-","TIGR01164","TIGR01164",1.4e-63,210.3,0.6,1.6e-63,210.1,0.6,1,1,0,0,1,1,1,1,"Desulfitobacterium dichloroeliminans LMG P-21439, complete genome","Desulfitobacterium dichloroeliminans LMG P-21439","Desulfitobacterium dichloroeliminans ","Y","66","Desulfitobacterium","dichloroeliminans","GCF_000243135.2","Firmicutes","Clostridia","Clostridiales","Peptococcaceae"
"2346","NC_019970.1","lcl|NC_019970.1_prot_WP_013296984.1_365","-","TIGR01164","TIGR01164",9.9e-65,213.7,0.9,1.1e-64,213.5,0.9,1,1,0,0,1,1,1,1,"Thermoanaerobacterium thermosaccharolyticum M0795, complete genome","Thermoanaerobacterium thermosaccharolyticum M0795","Thermoanaerobacterium thermosaccharolyticum ","Y","60","Thermoanaerobacterium","thermosaccharolyticum","GCF_000328545.1","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacterales"
"2360","NC_019978.1","lcl|NC_019978.1_prot_WP_015325935.1_174","-","TIGR01164","TIGR01164",8.2e-63,207.3,2.4,9.5e-63,207.1,2.4,1,1,0,0,1,1,1,1,"Halobacteroides halobius DSM 5150, complete genome","Halobacteroides halobius DSM 5150","Halobacteroides halobius ","Y","66","Halobacteroides","halobius","GCF_000328625.1","Firmicutes","Clostridia","Halanaerobiales","Halobacteroidaceae"
"2374","NC_020134.1","NC_020134.1_cds_WP_015360264.1_2447_1","-","TIGR01164","TIGR01164",3.9e-63,208.4,1.2,4.5e-63,208.2,1.2,1,1,0,0,1,1,1,1,"Thermoclostridium stercorarium subsp. stercorarium DSM 8532, complete genome","Thermoclostridium stercorarium subsp. stercorarium DSM 8532","Clostridium stercorarium ","Y","56","Thermoclostridium","stercorarium","GCF_000331995.1","Firmicutes","Clostridia","Clostridiales","Hungateiclostridiaceae"
"2388","NC_020164.1","lcl|NC_020164.1_prot_WP_002450520.1_664","-","TIGR01164","TIGR01164",3.7e-61,201.9,1.1,4.3e-61,201.7,1.1,1,1,0,0,1,1,1,1,"Staphylococcus warneri SG1, complete genome","Staphylococcus warneri SG1","Staphylococcus warneri ","N","15","Staphylococcus","warneri","GCF_000332735.1","Firmicutes","Bacilli","Bacillales","Staphylococcaceae"
"2402","NC_020229.1","lcl|NC_020229.1_prot_WP_003641256.1_1047","-","TIGR01164","TIGR01164",1.5e-56,187.4,2.9,1.7e-56,187.2,2.9,1,1,0,0,1,1,1,1,"Lactobacillus plantarum ZJ316, complete genome","Lactobacillus plantarum ZJ316","Lactobacillus plantarum ","N","15","Lactobacillus","plantarum","GCF_000338115.2","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae"
"2416","NC_020291.1","lcl|NC_020291.1_prot_WP_015390344.1_166","-","TIGR01164","TIGR01164",3e-62,206.7,0.5,3.4e-62,206.5,0.5,1,1,0,0,1,1,1,1,"Clostridium saccharoperbutylacetonicum N1-4(HMT), complete genome","Clostridium saccharoperbutylacetonicum N1-4(HMT)","Clostridium saccharoperbutylacetonicum ","Y","66","Clostridium","saccharoperbutylacetonicum","GCF_000340885.1","Firmicutes","Clostridia","Clostridiales","Clostridiaceae"
"2430","NC_020819.1","lcl|NC_020819.1_prot_WP_011668492.1_1563","-","TIGR01164","TIGR01164",9.1e-58,191,1.9,1e-57,190.8,1.9,1,1,0,0,1,1,1,1,"Lactobacillus brevis KB290 DNA, complete genome","Lactobacillus brevis KB290","Lactobacillus brevis ","N","18","Lactobacillus","brevis","GCF_000359625.1","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae"
"2444","NC_020887.2","lcl|NC_020887.2_prot_WP_015360264.1_2441","-","TIGR01164","TIGR01164",3.9e-63,208.4,1.2,4.5e-63,208.2,1.2,1,1,0,0,1,1,1,1,"Thermoclostridium stercorarium subsp. stercorarium DSM 8532, complete genome","Thermoclostridium stercorarium subsp. stercorarium DSM 8532","Clostridium stercorarium ","Y","56","Thermoclostridium","stercorarium","GCF_000349885.2","Firmicutes","Clostridia","Clostridiales","Hungateiclostridiaceae"
"2457","NC_020995.1","lcl|NC_020995.1_prot_WP_005226918.1_251","-","TIGR01164","TIGR01164",9.4e-58,191.3,3.3,1.1e-57,191.1,3.3,1,1,0,0,1,1,1,1,"Enterococcus casseliflavus EC20, complete genome","Enterococcus casseliflavus EC20","Enterococcus casseliflavus ","N","13","Enterococcus","casseliflavus","GCF_000157355.2","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae"
"2471","NC_021019.1","lcl|NC_021019.1_prot_WP_015535561.1_635","-","TIGR01164","TIGR01164",7.4e-58,190.9,0.7,8.5e-58,190.7,0.7,1,1,0,0,1,1,1,1,"Eubacterium cylindroides T2-87 draft genome","Eubacterium cylindroides T2-87","Eubacterium cylindroides ","N","9","Eubacterium","cylindroides","GCF_000210615.1","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae"
"2485","NC_021039.1","lcl|NC_021039.1_prot_WP_015558483.1_1409","-","TIGR01164","TIGR01164",5.6e-62,204.5,0.4,6.5e-62,204.3,0.4,1,1,0,0,1,1,1,1,"Ruminococcus champanellensis type strain 18P13T draft genome","Ruminococcus champanellensis","Ruminococcus champanellensis ","Y","49","Ruminococcus","champanellensis","GCF_000210095.1","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae"
"2501","NC_021171.1","lcl|NC_021171.1_prot_WP_015591965.1_114","-","TIGR01164","TIGR01164",1.6e-63,210.4,1.5,1.9e-63,210.2,1.5,1,1,0,0,1,1,1,1,"Bacillus sp. 1NLA3E, complete genome","Bacillus sp. 1NLA3E","Bacillus sp. 1NLA3E","Y","115","Bacillus","sp. 1NLA3E","GCF_000242895.2","Firmicutes","Bacilli","Bacillales","Bacillaceae"
"2515","NC_021175.1","lcl|NC_021175.1_prot_WP_015604249.1_105","-","TIGR01164","TIGR01164",2.8e-57,189.2,3.7,3.2e-57,189,3.7,1,1,0,0,1,1,1,1,"Streptococcus cristatus AS 1.3089, complete genome","Streptococcus cristatus AS 1.3089","Streptococcus oligofermentans ","N","14","Streptococcus","cristatus","GCF_000385925.1","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae"
"2533","NC_021182.1","lcl|NC_021182.1_prot_WP_015617485.1_4232","-","TIGR01164","TIGR01164",3.6e-62,206.1,1.3,4.2e-62,205.9,1.3,1,1,0,0,1,1,1,1,"Clostridium pasteurianum BC1, complete genome","Clostridium pasteurianum BC1","Clostridium pasteurianum ","Y","63","Clostridium","pasteurianum","GCF_000389635.1","Firmicutes","Clostridia","Clostridiales","Clostridiaceae"
"2547","NC_021184.1","lcl|NC_021184.1_prot_WP_006522864.1_344","-","TIGR01164","TIGR01164",8.7e-64,211.3,1.5,1e-63,211.1,1.5,1,1,0,0,1,1,1,1,"Desulfotomaculum gibsoniae DSM 7213, complete genome","Desulfotomaculum gibsoniae DSM 7213","Desulfotomaculum gibsoniae ","Y","70","Desulfotomaculum","gibsoniae","GCF_000233715.2","Firmicutes","Clostridia","Clostridiales","Peptococcaceae"
"2561","NC_021362.1","lcl|NC_021362.1_prot_WP_020449863.1_127","-","TIGR01164","TIGR01164",6.4e-64,211.7,2,7.4e-64,211.4,2,1,1,0,0,1,1,1,1,"Bacillus paralicheniformis ATCC 9945a, complete genome","Bacillus paralicheniformis ATCC 9945a","Bacillus licheniformis ","Y","113","Bacillus","paralicheniformis","GCF_000408885.1","Firmicutes","Bacilli","Bacillales","Bacillaceae"
"2576","NC_021744.1","lcl|NC_021744.1_prot_WP_003625792.1_2067","-","TIGR01164","TIGR01164",1.8e-55,183.4,3.5,2.1e-55,183.2,3.5,1,1,0,0,1,1,1,1,"Lactobacillus helveticus CNRZ32, complete genome","Lactobacillus helveticus CNRZ32","Lactobacillus helveticus ","N","14","Lactobacillus","helveticus","GCF_000422165.1","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae"
"2590","NC_021994.1","lcl|NC_021994.1_prot_WP_002288661.1_66","-","TIGR01164","TIGR01164",7.3e-58,191.7,3.3,8.6e-58,191.5,3.3,1.1,1,0,0,1,1,1,1,"Enterococcus faecium Aus0085, complete genome","Enterococcus faecium Aus0085","Enterococcus faecium ","N","18","Enterococcus","faecium","GCF_000444405.1","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae"
"2604","NC_022080.4","lcl|NC_022080.4_prot_WP_011229627.1_115","-","TIGR01164","TIGR01164",3.7e-64,212.1,1.9,4.3e-64,211.9,1.9,1,1,0,0,1,1,1,1,"Geobacillus genomosp. 3 strain JF8, complete genome","Geobacillus genomosp. 3","Geobacillus sp. JF8","Y","107","Geobacillus","genomosp.","GCF_000445995.2","Firmicutes","Bacilli","Bacillales","Bacillaceae"
"2618","NC_022237.1","lcl|NC_022237.1_prot_WP_003075193.1_1713","-","TIGR01164","TIGR01164",7e-58,191,3.5,8e-58,190.8,3.5,1,1,0,0,1,1,1,1,"Streptococcus intermedius C270, complete genome","Streptococcus intermedius C270","Streptococcus intermedius ","N","15","Streptococcus","intermedius","GCF_000463385.1","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae"
"2632","NC_022524.1","lcl|NC_022524.1_prot_WP_009791321.1_125","-","TIGR01164","TIGR01164",6.9e-63,208.5,1,8e-63,208.3,1,1,1,0,0,1,1,1,1,"Bacillus infantis NRRL B-14911, complete genome","Bacillus infantis NRRL B-14911","Bacillus infantis ","Y","119","Bacillus","infantis","GCF_000473245.1","Firmicutes","Bacilli","Bacillales","Bacillaceae"
"2648","NC_022571.1","lcl|NC_022571.1_prot_WP_008426579.1_177","-","TIGR01164","TIGR01164",2.8e-62,206.4,0.4,3.2e-62,206.2,0.4,1,1,0,0,1,1,1,1,"Clostridium saccharobutylicum DSM 13864, complete genome","Clostridium saccharobutylicum DSM 13864","Clostridium saccharobutylicum ","Y","65","Clostridium","saccharobutylicum","GCF_000473995.1","Firmicutes","Clostridia","Clostridiales","Clostridiaceae"
"2662","NC_022584.1","lcl|NC_022584.1_prot_WP_023024998.1_1543","-","TIGR01164","TIGR01164",1.8e-57,189.7,3.5,2e-57,189.5,3.5,1,1,0,0,1,1,1,1,"Streptococcus sp. I-G2, complete genome","Streptococcus sp. I-G2","Streptococcus sp. I-G2","N","14","Streptococcus","sp. I-G2","GCF_000479335.1","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae"
"2676","NC_022592.1","lcl|NC_022592.1_prot_WP_013240685.1_1906","-","TIGR01164","TIGR01164",5.5e-63,208.5,0.7,6.4e-63,208.3,0.7,1,1,0,0,1,1,1,1,"Clostridium autoethanogenum DSM 10061, complete genome","Clostridium autoethanogenum DSM 10061","Clostridium autoethanogenum ","Y","71","Clostridium","autoethanogenum","GCF_000484505.1","Firmicutes","Clostridia","Clostridiales","Clostridiaceae"
